mall_id,l1,ratio
m_6803,0.0036003600360036,0.5190274841437632
m_7800,0.20014805841577496,0.6025035912169096
m_7168,0.17633410672853828,0.6406800428855873
m_1920,0.042863266180882986,0.6735423542354235
m_4422,0.15206353339408932,0.7058932887153746
m_1377,0.16581562620106519,0.7447591614658345
m_2224,0.06400758097863542,0.7683397683397684
m_4079,0.08279046233634811,0.7707986688851913
m_6167,0.017087667161961365,0.8037878787878788
m_4187,0.050683829444891394,0.8040737148399612
m_1263,0.1155802126675913,0.8059701492537313
m_1293,0.06112206488618032,0.8134584160202056
m_7973,0.023956845946374743,0.8219291014014839
m_6337,0.0527969506541671,0.8235478806907378
m_2878,0.07411587659894657,0.8362398979157806
m_4168,0.030489246041125028,0.8404971517348524
m_5529,0.008851861494402499,0.8491577335375191
m_5825,0.10189535072088125,0.8541871921182266
m_1621,0.08098336948662328,0.8544995794785534
m_1021,0.11573187414500684,0.85973207249803
m_3839,0.07843023592835198,0.8598303209147916
m_4011,0.04073838319541693,0.8600337268128162
m_909,0.005330406835462883,0.8627795928625283
m_3054,0.0756769540026014,0.8648208469055375
m_3019,0.062347614071752,0.8665265370467683
m_4094,0.1550782285865818,0.8675771060303821
m_2715,0.0703144342659074,0.8724216959511077
m_690,0.09097222222222222,0.8802584134615384
m_2058,0.06419850334777472,0.8812415654520918
m_7374,0.12491612614627601,0.8841442072103605
m_3739,0.1270480795057749,0.8863241499131298
m_7601,0.020206362854686157,0.8865203761755486
m_3005,0.14927352746126485,0.8870967741935484
m_4548,0.028556319407720784,0.8872581721147431
m_2415,0.14051413283703618,0.8897586431833007
m_1950,0.0691183879093199,0.8905696813646604
m_4341,0.02228990724075869,0.8908373520385796
m_4543,0.051174723197407505,0.891362763915547
m_8093,0.06384639400561973,0.8943859649122807
m_9054,0.06365403304178814,0.8961937716262975
m_4828,0.05267821184051551,0.900658895083629
m_4572,0.06276276276276277,0.9011434894872741
m_979,0.029870763228480857,0.9044144472820138
m_3445,0.04353741496598639,0.9065040650406504
m_3528,0.04548660084626234,0.9068479355488419
m_3501,0.018384131591678763,0.9070234113712374
m_2578,0.06541442269801655,0.9083682008368201
m_5352,0.022370240040216163,0.9107806691449815
m_3916,0.04617205998421468,0.9115407147041593
m_6587,0.10037998733375554,0.9117549117549117
m_8379,0.03791348600508906,0.9132290184921764
m_968,0.03398164335664336,0.9148936170212766
m_3112,0.06868018204385602,0.915743670886076
m_626,0.16927083333333334,0.9165162454873647
m_2267,0.024709766748322506,0.9171995960955908
m_1085,0.10112768279374318,0.9211136890951276
m_2009,0.08822751322751322,0.9213226909920182
m_3425,0.01743486973947896,0.9214484679665739
m_5076,0.06759455748346024,0.9218837600448514
m_5810,0.10684062059238364,0.9222343921139102
m_2333,0.03885642078660559,0.9228817858954845
m_2467,0.044923461418306776,0.9229493087557604
m_5892,0.19735963806274567,0.9240449438202247
m_2123,0.010384850335980453,0.9244741873804971
m_822,0.06594627348010502,0.9259364358683314
m_625,0.13411816481461106,0.9262068965517242
m_7523,0.04200282791316643,0.9273542600896861
m_622,0.03160806005531411,0.9279309199601461
m_9068,0.03306878306878307,0.9287786863624373
m_1089,0.016681901279707496,0.9292389853137517
m_3832,0.03151280811986467,0.9316192560175055
m_8344,0.046924583080143134,0.932281262485018
m_1409,0.0681910651802425,0.9330002271178742
m_3517,0.02105506709856548,0.9335224969598703
m_2182,0.06546324488908221,0.9337447223124391
m_1790,0.01861019435276861,0.9338253382533825
m_1175,0.0626346015793252,0.9346568498553773
m_7994,0.03489963503649635,0.9349645846748229
m_4033,0.03851333153784002,0.9352914180816888
m_4515,0.02090032154340836,0.9362527716186253
m_5767,0.0929957805907173,0.9367219917012448
m_5154,0.03440116490717146,0.937440305635148
m_3871,0.058111176520057185,0.9375691830861191
m_615,0.02289085545722714,0.9379973474801061
m_4759,0.0372410753635963,0.9388920616790406
m_5085,0.03457203777033201,0.9417326297273527
m_4923,0.020364159080019165,0.9423558897243107
m_4121,0.02801503245644004,0.9425162689804772
m_4459,0.03775301341823971,0.9438810006761326
m_1831,0.10445428497004428,0.9456424079065588
m_1375,0.029983342587451417,0.945671223273747
m_4406,0.017504416251806647,0.946568401658222
m_3313,0.14574067738624702,0.9494584837545126
m_2270,0.04116479152878888,0.9502529510961214
m_623,0.04311427375470908,0.9580467675378267
m_2907,0.08717897271268057,0.9599706206390011
m_4495,0.02021916962494212,0.965287049399199
